left_elbow,right_elbow,left_shoulder,right_shoulder,left_knee,right_knee,left_hip,right_hip,left_ankle,right_ankle,torso_left,torso_right,left_wrist,right_wrist,label
98.72117898607935,99.36861842211366,59.39947699038259,54.31394947889776,48.37671778591989,47.26031360269635,6.965684980267241,9.70887976476623,120.62934640908621,142.4946301267328,51.71140296900332,123.10912088364772,117.86174505472226,131.94870613050136,0
170.13744163016102,169.13291332807674,89.6403309809004,87.35172753637289,69.84268096287148,72.71806204031314,20.3311795217858,24.59627982083133,118.64251721633403,124.65999125100967,47.568755659104866,132.9927814042671,113.62797957286794,122.47909731586486,0
102.59150897820277,105.8153435918249,45.281588196762655,50.80545642486947,46.38996779517523,42.70348894137753,4.608342296519629,2.1617382951091217,154.33961774978926,146.2353426721941,133.6972144095478,41.46542297406853,117.66524820852092,99.23454877057141,0
164.94934499783702,146.56392641914974,45.49209882668499,44.107719360089575,47.91492636193426,8.270537105995592,14.986170519054413,11.514277808938365,85.493608613447,107.77199827392603,135.96059028026022,45.37344217305582,160.01946217516806,161.2339771744124,0
154.84520480467444,151.0981092810408,96.57041718349585,103.08407166392071,62.14860695398108,50.28876095865321,26.593117168196358,11.088507530999502,160.5461924840561,133.88601735605445,70.17478075794553,103.8107766852355,136.5134799926486,125.94628504427051,0
164.07672802898105,169.90803651831828,98.06107330688656,89.98350991335207,40.70183741818053,54.2450589031188,72.1303040715871,90.27601721796636,93.5854184078939,121.71959646091109,40.07617505284763,150.85735488943493,135.5871854934854,136.76841439544964,0
161.38964694290442,166.99516542117885,18.82394161311558,55.33489171447567,147.1742572197094,112.87479400654922,74.89583465262032,145.08415843405209,174.96571017545313,170.15760488068267,155.39099289325702,9.479570220472604,174.7766851352167,154.05954167164774,0
148.37060786739735,137.3684438827087,46.59901632746171,54.52712508453795,34.384015875913455,37.80167657659545,19.47843440027322,19.98530449575591,168.04773328398372,166.3986383641298,154.89109194915167,22.078419286410742,90.07855367887939,138.69273290517683,0
127.58493170206113,144.5227054049843,33.89794469481245,23.986751965039502,10.524247242313779,10.057297942019499,33.15658709874627,24.192326747586193,78.88930729031178,104.88231994208022,80.50712213864621,94.71653209427545,85.70148572483777,151.69327107170395,0
108.43943358960891,109.82375014474373,113.2404320135033,75.9795828495299,162.18686265153255,41.535850119755985,172.36929904058218,32.54201001231215,151.2870397964415,157.61099048114673,15.512035394940916,168.05654853574322,163.67641318544582,139.37290480163009,0
